Code,Name,NameEdubase
E09000002,Barking and Dagenham,Barking and Dagenham
E09000003,Barnet,Barnet
E08000016,Barnsley,Barnsley
E06000022,Bath and North East Somerset,Bath and North East Somerset
E06000055,Bedford,Bedford
E09000004,Bexley,Bexley
E08000025,Birmingham,Birmingham
E06000008,Blackburn with Darwen,Blackburn with Darwen
E06000009,Blackpool,Blackpool
E08000001,Bolton,Bolton
E06000028,Bournemouth,Bournemouth
E06000036,Bracknell Forest,Bracknell Forest
E08000032,Bradford,Bradford
E09000005,Brent,Brent
E06000043,Brighton and Hove,Brighton and Hove
E06000023,"Bristol, City of","Bristol City of"
E09000006,Bromley,Bromley
E10000002,Buckinghamshire,Buckinghamshire
E08000002,Bury,Bury
E08000033,Calderdale,Calderdale
E10000003,Cambridgeshire,Cambridgeshire
E09000007,Camden,Camden
E06000056,Central Bedfordshire,Central Bedfordshire
E06000049,Cheshire East,Cheshire East
E06000050,Cheshire West and Chester,Cheshire West and Chester
E09000001,City of London,City of London
E06000052,Cornwall,Cornwall
E06000047,County Durham,Durham
E08000026,Coventry,Coventry
E09000008,Croydon,Croydon
E10000006,Cumbria,Cumbria
E06000005,Darlington,Darlington
E06000015,Derby,Derby
E10000007,Derbyshire,Derbyshire
E10000008,Devon,Devon
E08000017,Doncaster,Doncaster
E10000009,Dorset,Dorset
E08000027,Dudley,Dudley
E09000009,Ealing,Ealing
E06000011,East Riding of Yorkshire,East Riding of Yorkshire
E10000011,East Sussex,East Sussex
E09000010,Enfield,Enfield
E10000012,Essex,Essex
E08000020,Gateshead,Gateshead
E10000013,Gloucestershire,Gloucestershire
E09000011,Greenwich,Greenwich
E09000012,Hackney,Hackney
E06000006,Halton,Halton
E09000013,Hammersmith and Fulham,Hammersmith and Fulham
E10000014,Hampshire,Hampshire
E09000014,Haringey,Haringey
E09000015,Harrow,Harrow
E06000001,Hartlepool,Hartlepool
E09000016,Havering,Havering
E06000019,"Herefordshire, County of",Herefordshire
E10000015,Hertfordshire,Hertfordshire
E09000017,Hillingdon,Hillingdon
E09000018,Hounslow,Hounslow
E06000046,Isle of Wight,Isle of Wight
E06000053,Isles of Scilly,Isles Of Scilly
E09000019,Islington,Islington
E09000020,Kensington and Chelsea,Kensington and Chelsea
E10000016,Kent,Kent
E06000010,"Kingston upon Hull, City of","Kingston upon Hull City of"
E09000021,Kingston upon Thames,Kingston upon Thames
E08000034,Kirklees,Kirklees
E08000011,Knowsley,Knowsley
E09000022,Lambeth,Lambeth
E10000017,Lancashire,Lancashire
E08000035,Leeds,Leeds
E06000016,Leicester,Leicester
E10000018,Leicestershire,Leicestershire
E09000023,Lewisham,Lewisham
E10000019,Lincolnshire,Lincolnshire
E08000012,Liverpool,Liverpool
E06000032,Luton,Luton
E08000003,Manchester,Manchester
E06000035,Medway,Medway
E09000024,Merton,Merton
E06000002,Middlesbrough,Middlesbrough
E06000042,Milton Keynes,Milton Keynes
E08000021,Newcastle upon Tyne,Newcastle upon Tyne
E09000025,Newham,Newham
E10000020,Norfolk,Norfolk
E06000012,North East Lincolnshire,North East Lincolnshire
E06000013,North Lincolnshire,North Lincolnshire
E06000024,North Somerset,North Somerset
E08000022,North Tyneside,North Tyneside
E10000023,North Yorkshire,North Yorkshire
E10000021,Northamptonshire,Northamptonshire
E06000048,Northumberland,Northumberland
E06000018,Nottingham,Nottingham
E10000024,Nottinghamshire,Nottinghamshire
E08000004,Oldham,Oldham
E10000025,Oxfordshire,Oxfordshire
E06000031,Peterborough,Peterborough
E06000026,Plymouth,Plymouth
E06000029,Poole,Poole
E06000044,Portsmouth,Portsmouth
E06000038,Reading,Reading
E09000026,Redbridge,Redbridge
E06000003,Redcar and Cleveland,Redcar and Cleveland
E09000027,Richmond upon Thames,Richmond upon Thames
E08000005,Rochdale,Rochdale
E08000018,Rotherham,Rotherham
E06000017,Rutland,Rutland
E08000006,Salford,Salford
E08000028,Sandwell,Sandwell
E08000014,Sefton,Sefton
E08000019,Sheffield,Sheffield
E06000051,Shropshire,Shropshire
E06000039,Slough,Slough
E08000029,Solihull,Solihull
E10000027,Somerset,Somerset
E06000025,South Gloucestershire,South Gloucestershire
E08000023,South Tyneside,South Tyneside
E06000045,Southampton,Southampton
E06000033,Southend-on-Sea,Southend-on-Sea
E09000028,Southwark,Southwark
E08000013,St. Helens,St. Helens
E10000028,Staffordshire,Staffordshire
E08000007,Stockport,Stockport
E06000004,Stockton-on-Tees,Stockton-on-Tees
E06000021,Stoke-on-Trent,Stoke-on-Trent
E10000029,Suffolk,Suffolk
E08000024,Sunderland,Sunderland
E10000030,Surrey,Surrey
E09000029,Sutton,Sutton
E06000030,Swindon,Swindon
E08000008,Tameside,Tameside
E06000020,Telford and Wrekin,Telford and Wrekin
E06000034,Thurrock,Thurrock
E06000027,Torbay,Torbay
E09000030,Tower Hamlets,Tower Hamlets
E08000009,Trafford,Trafford
E08000036,Wakefield,Wakefield
E08000030,Walsall,Walsall
E09000031,Waltham Forest,Waltham Forest
E09000032,Wandsworth,Wandsworth
E06000007,Warrington,Warrington
E10000031,Warwickshire,Warwickshire
E06000037,West Berkshire,West Berkshire
E10000032,West Sussex,West Sussex
E09000033,Westminster,Westminster
E08000010,Wigan,Wigan
E06000054,Wiltshire,Wiltshire
E06000040,Windsor and Maidenhead,Windsor and Maidenhead
E08000015,Wirral,Wirral
E06000041,Wokingham,Wokingham
E08000031,Wolverhampton,Wolverhampton
E10000034,Worcestershire,Worcestershire
E06000014,York,York
