RegionCode,LACode,RegionName,LAName
E12000007,E09000003,London,Barnet
E12000003,E08000016,Yorkshire and The Humber,Barnsley
E12000009,E06000022,South West,Bath and North East Somerset
E12000006,E06000055,East of England,Bedford
E12000007,E09000004,London,Bexley
E12000005,E08000025,West Midlands,Birmingham
E12000002,E06000008,North West,Blackburn with Darwen
E12000002,E08000001,North West,Bolton
E12000009,E06000028,South West,Bournemouth
E12000003,E08000032,Yorkshire and The Humber,Bradford
E12000007,E09000005,London,Brent
E12000008,E06000043,South East,Brighton and Hove
E12000009,E06000023,South West,"Bristol, City of"
E12000007,E09000006,London,Bromley
E12000008,E10000002,South East,Buckinghamshire
E12000003,E08000033,Yorkshire and The Humber,Calderdale
E12000006,E10000003,East of England,Cambridgeshire
E12000006,E06000056,East of England,Central Bedfordshire
E12000002,E06000049,North West,Cheshire East
E12000002,E06000050,North West,Cheshire West and Chester
E12000009,E06000052,South West,Cornwall
E12000005,E08000026,West Midlands,Coventry
E12000007,E09000008,London,Croydon
E12000002,E10000006,North West,Cumbria
E12000001,E06000005,North East,Darlington
E12000004,E06000015,East Midlands,Derby
E12000004,E10000007,East Midlands,Derbyshire
E12000009,E10000008,South West,Devon
E12000003,E08000017,Yorkshire and The Humber,Doncaster
E12000007,E09000009,London,Ealing
E12000008,E10000011,South East,East Sussex
E12000007,E09000010,London,Enfield
E12000006,E10000012,East of England,Essex
E12000009,E10000013,South West,Gloucestershire
E12000007,E09000011,London,Greenwich
E12000007,E09000012,London,Hackney
E12000002,E06000006,North West,Halton
E12000007,E09000013,London,Hammersmith and Fulham
E12000008,E10000014,South East,Hampshire
E12000007,E09000014,London,Haringey
E12000007,E09000016,London,Havering
E12000005,E06000019,West Midlands,"Herefordshire, County of"
E12000006,E10000015,East of England,Hertfordshire
E12000007,E09000017,London,Hillingdon
E12000007,E09000018,London,Hounslow
E12000007,E09000019,London,Islington
E12000007,E09000020,London,Kensington and Chelsea
E12000008,E10000016,South East,Kent
E12000003,E06000010,Yorkshire and The Humber,"Kingston upon Hull, City of"
